P_id,Full Name,Born,Age,Batting Style,Bowling Style,Playing Role,Roll_id,photo_link
253802,Virat Kohli,"November 05, 1988, Delhi",34y 361d,Right hand Bat,Right arm Medium,Top order Batter,BAT,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.png"
34102,Rohit Gurunath Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",36y 185d,Right hand Bat,Right arm Offbreak,Top order Batter,BAT,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316584.png"
422108,Kannaur Lokesh Rahul,"April 18, 1992, Bangalore, Karnataka",31y 197d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,BAT,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.png"
28235,Shikhar Dhawan,"December 05, 1985, Delhi",37y 331d,Left hand Bat,Right arm Offbreak,Opening Batter,BAT,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316524.png"
234675,Ravindrasinh Anirudhsinh Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",34y 330d,Left hand Bat,Slow Left arm Orthodox,Allrounder,ALL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316600.png"
625371,Hardik Himanshu Pandya,"October 11, 1993, Choryasi, Gujarat",30y 21d,Right hand Bat,Right arm Medium fast,Allrounder,ALL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319938.png"
26421,Ravichandran Ashwin,"September 17, 1986, Madras (now Chennai), Tamil Nadu",37y 45d,Right hand Bat,Right arm Offbreak,Bowling Allrounder,ALL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316521.png"
27223,Stuart Terence Roger Binny,"June 03, 1984, Bangalore, Karnataka",39y 151d,Right hand Bat,Right arm Medium,Allrounder,ALL,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316514.png"
625383,Jasprit Jasbirsingh Bumrah,"December 06, 1993, Ahmedabad",29y 330d,Right hand Bat,Right arm Fast,Bowler,BOW,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.png"
481896,Mohammed Shami Ahmed,"September 03, 1990, Amroha, Uttar Pradesh",33y 59d,Right hand Bat,Right arm Fast,Bowler,BOW,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316691.png"
326016,Bhuvneshwar Kumar Singh,"February 05, 1990, Meerut, Uttar Pradesh",33y 269d,Right hand Bat,Right arm Medium,Bowler,BOW,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316658.png"
376116,Umeshkumar Tilak Yadav,"October 25, 1987, Nagpur, Maharashtra",36y 7d,Right hand Bat,Right arm Fast,Bowler,BOW,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316667.png"
